開催回,日付,第1数字,第2数字,第3数字,第4数字,第5数字,第6数字,第7数字,BONUS数字1,BONUS数字2,1等口数,2等口数,3等口数,4等口数,5等口数,6等口数,1等賞金,2等賞金,3等賞金,4等賞金,5等賞金,6等賞金,キャリーオーバー
48,2014/3/7,3,5,24,26,29,30,34,8,35,1,6,96,4568,78659,150052,240970300,13821600,1209300,14900,2100,1000,0
49,2014/3/14,8,11,12,17,24,26,27,14,21,1,9,142,5956,91203,129398,237579900,8854400,785600,10900,1700,1100,0
50,2014/3/21,3,4,7,8,15,24,29,11,16,2,13,193,8096,108710,167151,112997700,5740400,541300,7500,1300,800,0
51,2014/3/28,1,4,5,8,20,23,35,15,33,0,7,85,5048,79109,140349,0,11055400,1274600,12500,1900,1000,228789300
52,2014/4/4,8,10,22,24,26,32,34,5,9,0,7,78,4588,80076,157564,0,13429000,1687200,16800,2300,1000,517585780
53,2014/4/11,1,4,14,16,20,33,36,12,30,2,11,105,5567,94976,166040,424722700,10154700,1489300,16400,2300,1200,0
54,2014/4/18,1,3,5,10,18,22,23,7,35,0,12,156,6012,89428,160144,0,6757100,727600,11000,1800,900,239162760
55,2014/4/25,4,12,14,17,23,30,36,13,33,1,5,132,6629,102151,161412,536627600,20250200,1073800,12500,2000,1100,0
56,2014/5/2,4,23,26,27,28,32,36,29,30,0,5,69,4476,77069,125240,0,16071900,1630400,14700,2100,1100,239510660
57,2014/5/9,5,6,12,16,17,20,33,8,32,0,14,130,5981,99333,167658,0,6948300,1047500,13300,1900,1000,535837750
58,2014/5/16,1,6,7,8,23,32,33,11,34,1,5,176,7390,115904,204160,800000000,22002600,875000,12200,1900,900,69864060
59,2014/5/23,5,8,12,13,21,30,35,27,34,0,10,134,6036,90778,152530,0,8769400,916100,11900,1900,1000,333161630
60,2014/5/30,3,7,9,15,16,23,34,5,33,1,10,203,9309,131989,207951,636917600,9951000,686200,8700,1500,800,0
61,2014/6/6,5,10,11,21,28,31,37,13,14,1,5,110,4819,73709,124174,231978000,15005200,954800,12700,2000,1000,0
62,2014/6/13,4,10,12,15,27,32,33,9,16,0,6,115,5329,82357,137777,0,12590700,919600,11600,1800,900,234614670
63,2014/6/20,4,8,19,24,28,30,32,12,37,1,15,180,7737,107083,167728,524339700,6457200,753300,10200,1800,1000,0
64,2014/6/27,4,15,16,17,20,29,36,19,26,0,2,71,4186,72498,110154,0,38773400,1529000,15200,2100,1200,235685240
65,2014/7/4,4,7,12,22,23,24,28,25,34,0,13,184,8698,127318,189206,0,7294900,721500,8900,1500,900,510891905
66,2014/7/11,1,11,25,28,31,33,37,3,20,0,3,104,5619,99107,172089,0,35602400,1437700,15600,2100,1100,829816620
67,2014/7/18,7,11,15,17,18,25,35,6,33,0,13,166,7610,121393,220199,0,9336100,1023500,13000,2000,1000,1181533320
68,2014/7/25,2,7,13,15,24,34,35,12,23,1,25,210,10354,152027,281508,800000000,5519400,919800,10900,1800,800,808528740
69,2014/8/1,13,17,20,22,28,29,37,11,12,1,9,118,5961,99657,179019,800000000,13107500,1399600,16200,2400,1100,363873750
70,2014/8/8,9,10,18,21,27,33,35,4,11,3,15,163,7266,102768,178645,222116800,6723700,866200,11400,1900,1000,0
71,2014/8/15,1,6,13,29,34,35,37,2,15,0,2,61,3423,61037,118919,0,37959300,1742300,18200,2500,1100,225783715
72,2014/8/22,11,12,18,19,20,31,32,9,21,5,35,120,5236,84053,145081,103896700,2815300,1149500,15400,2300,1200,0
73,2014/8/29,12,16,23,25,27,30,32,28,33,0,9,96,4888,79551,137375,0,8881600,1165600,13400,2000,1000,239746775
74,2014/9/5,5,13,14,15,16,24,31,9,11,0,9,115,6063,100706,168688,0,10902000,1194400,13200,1900,1000,538287400
75,2014/9/12,4,9,15,17,19,35,37,10,20,2,9,107,5858,102544,164397,434459600,12033700,1417000,15100,2100,1100,0
76,2014/9/19,4,13,18,29,32,34,36,24,33,1,5,131,4941,76086,141102,241111000,15503500,828400,12800,2000,900,0
77,2014/9/26,3,10,23,25,26,28,30,15,29,0,8,99,4883,79505,134731,0,9431900,1067000,12600,1900,1000,220682015
78,2014/10/3,5,6,10,14,24,28,36,7,20,2,8,134,6232,93845,153240,245019800,11188900,935100,11700,1900,1000,0
79,2014/10/10,2,4,7,9,21,29,37,6,36,0,8,83,4630,76764,127730,0,9076100,1224700,12800,1900,1000,213723005
80,2014/10/17,2,5,10,18,21,24,27,25,34,0,6,161,6067,91076,142350,0,15082300,786800,12200,2000,1100,482184370
81,2014/10/24,1,3,10,18,28,31,35,9,21,0,10,117,6097,101530,176500,0,10885100,1302400,14600,2100,1100,805203145
82,2014/10/31,1,3,16,20,25,27,34,18,37,0,10,117,6744,116324,191383,0,13060900,1562800,15900,2200,1200,1195576075
83,2014/11/7,1,11,21,26,28,32,35,18,22,0,11,118,7047,123990,218185,0,13156900,1717000,16800,2300,1200,1619633575
84,2014/11/14,8,16,23,28,29,35,36,12,37,0,23,236,12518,180209,291170,0,6770600,923700,10200,1700,900,2095793915
85,2014/11/21,6,7,10,11,22,26,35,14,23,1,22,242,10771,170753,306651,800000000,7538600,959400,12600,1900,900,1808128280
86,2014/11/28,3,10,20,21,22,26,30,24,35,1,16,153,7353,120914,205807,800000000,8694200,1272800,15500,2300,1200,1416245085
87,2014/12/5,8,9,12,18,20,28,31,13,15,0,13,138,7821,127559,223589,0,9776900,1289400,13300,2000,1000,1790275855
88,2014/12/12,3,4,10,14,25,29,30,18,19,0,11,177,8800,136071,235427,0,12013600,1045200,12300,1900,1000,2147483647
89,2014/12/19,1,3,11,26,28,34,36,17,20,0,12,159,8388,138336,224541,0,11582900,1223800,13600,2000,1100,2147483647
